Maximum CNC 25 LB,"-0.09207",N
Time at Maximum CNC 25 LB,"0.00000",s
Extension at Maximum CNC 25 LB,"-0.00254",mm
Rate 1,"0.14700",mm/s
Start date,"9/14/2021"
Specimen label,""

Time,Extension,CNC 25 LB
(s),(mm),(N)
"9.95000","1.45648","-18.93352"
"9.97500","1.46014","-18.95721"
"10.00000","1.46382","-18.97657"
"10.02500","1.46739","-18.99940"
"10.05000","1.47101","-19.02320"
"10.07500","1.47469","-19.04816"
"10.10000","1.47842","-19.07093"
"10.12500","1.48213","-19.09322"
"10.15000","1.48578","-19.11547"
"10.17500","1.48942","-19.13467"
"10.20000","1.49305","-19.14921"
"10.22500","1.49672","-19.16223"
"10.25000","1.50046","-19.17052"
"10.27500","1.50417","-19.17371"
"10.30000","1.50782","-19.17285"
"10.32500","1.51140","-19.16749"
"10.35000","1.51506","-19.17912"
"10.37500","1.51877","-19.19900"
"10.40000","1.52248","-19.22520"
"10.42500","1.52618","-19.25172"
"10.45000","1.52981","-19.27817"
"10.47500","1.53349","-19.30365"
"10.50000","1.53714","-19.32637"
"10.52500","1.54086","-19.35295"
"10.55000","1.54459","-19.37815"
"10.57500","1.54819","-19.40547"
"10.60000","1.55181","-19.42968"
"10.62500","1.55550","-19.45533"
"10.65000","1.55922","-19.47956"
"10.67500","1.56293","-19.50349"
"10.70000","1.56664","-19.52976"
"10.72500","1.57030","-19.55293"
"10.75000","1.57393","-19.57749"
"10.77500","1.57758","-19.60063"
"10.80000","1.58132","-19.62452"
"10.82500","1.58503","-19.64727"
"10.85000","1.58864","-19.67162"
"10.87500","1.59224","-19.69312"
"10.90000","1.59598","-19.71625"
"10.92500","1.59968","-19.73925"
"10.95000","1.60339","-19.76060"
"10.97500","1.60707","-19.78070"
"11.00000","1.61069","-19.80415"
"11.02500","1.61435","-19.82803"
"11.05000","1.61803","-19.85024"
"11.07500","1.62176","-19.87473"
"11.10000","1.62546","-19.89279"
"11.12500","1.62907","-19.91601"
"11.15000","1.63271","-19.93707"
"11.17500","1.63641","-19.96166"
"11.20000","1.64015","-19.98306"
"11.22500","1.64385","-20.00523"
"11.25000","1.64755","-20.02588"
"11.27500","1.65116","-20.04481"
"11.30000","1.65473","-20.06590"
"11.32500","1.65840","-20.08432"
"11.35000","1.66215","-20.10549"
"11.37500","1.66589","-20.12450"
"11.40000","1.66953","-20.14636"
"11.42500","1.67318","-20.16392"
"11.45000","1.67684","-20.18376"
"11.47500","1.68050","-20.20007"
"11.50000","1.68418","-20.21431"
"11.52500","1.68785","-20.23019"
"11.55000","1.69150","-20.24865"
"11.57500","1.69518","-20.26575"
"11.60000","1.69891","-20.28191"
"11.62500","1.70260","-20.29497"
"11.65000","1.70624","-20.30459"
"11.67500","1.70985","-20.31514"
"11.70000","1.71348","-20.32774"
"11.72500","1.71721","-20.33924"
"11.75000","1.72091","-20.34803"
"11.77500","1.72462","-20.35179"
"11.80000","1.72830","-20.35439"
"11.82500","1.73193","-20.35923"
"11.85000","1.73558","-20.36935"
"11.87500","1.73930","-20.37877"
"11.90000","1.74304","-20.39054"
"11.92500","1.74669","-20.40030"
"11.95000","1.75033","-20.41045"
"11.97500","1.75397","-20.42155"
"12.00000","1.75763","-20.43889"
"12.02500","1.76131","-20.45474"
"12.05000","1.76503","-20.47244"
"12.07500","1.76874","-20.49124"
"12.10000","1.77235","-20.50789"
"12.12500","1.77593","-20.52386"
"12.15000","1.77962","-20.53811"
"12.17500","1.78334","-20.55676"
"12.20000","1.78708","-20.57242"
"12.22500","1.79073","-20.59223"
"12.25000","1.79435","-20.60851"
"12.27500","1.79800","-20.62642"
"12.30000","1.80169","-20.64362"
"12.32500","1.80545","-20.66319"
"12.35000","1.80918","-20.67957"
"12.37500","1.81280","-20.69678"
"12.40000","1.81640","-20.71428"
"12.42500","1.82012","-20.73084"
"12.45000","1.82387","-20.74902"
"12.47500","1.82756","-20.76505"
"12.50000","1.83120","-20.78027"
"12.52500","1.83484","-20.79702"
"12.55000","1.83853","-20.81664"
"12.57500","1.84223","-20.83347"
"12.60000","1.84596","-20.85275"
"12.62500","1.84963","-20.86980"
"12.65000","1.85324","-20.88821"
"12.67500","1.85685","-20.90750"
"12.70000","1.86057","-20.92607"
"12.72500","1.86429","-20.94258"
"12.75000","1.86799","-20.95835"
"12.77500","1.87166","-20.97691"
"12.80000","1.87529","-20.99196"
"12.82500","1.87897","-21.00593"
"12.85000","1.88263","-21.02178"
"12.87500","1.88639","-21.03402"
"12.90000","1.89011","-21.04658"
"12.92500","1.89373","-21.05630"
"12.95000","1.89735","-21.06525"
"12.97500","1.90108","-21.07414"
"13.00000","1.90485","-21.08230"
"13.02500","1.90859","-21.08986"
"13.05000","1.91236","-21.09784"
"13.07500","1.91657","-21.10768"
"13.10000","1.92106","-21.11393"
"13.12500","1.92450","-21.12111"
"13.15000","1.92759","-21.12902"
"13.17500","1.93087","-21.13921"
"13.20000","1.93429","-21.14872"
"13.22500","1.93779","-21.15990"
"13.25000","1.94145","-21.16857"
"13.27500","1.94508","-21.17674"
"13.30000","1.94877","-21.18652"
"13.32500","1.95239","-21.19573"
"13.35000","1.95597","-21.20633"
"13.37500","1.95959","-21.21771"
"13.40000","1.96330","-21.23131"
"13.42500","1.96708","-21.24372"
"13.45000","1.97079","-21.25987"
"13.47500","1.97443","-21.27322"
"13.50000","1.97802","-21.28539"
"13.52500","1.98175","-21.29758"
"13.55000","1.98546","-21.31123"
"13.57500","1.98921","-21.32500"
"13.60000","1.99291","-21.33685"
"13.62500","1.99654","-21.34971"
"13.65000","2.00017","-21.35999"
"13.67500","2.00388","-21.37605"
"13.70000","2.00767","-21.38914"
"13.72500","2.01136","-21.40154"
"13.75000","2.01497","-21.41404"
"13.77500","2.01858","-21.42701"
"13.80000","2.02232","-21.43835"
"13.82500","2.02603","-21.45026"
"13.85000","2.02975","-21.46142"
"13.87500","2.03344","-21.47203"
"13.90000","2.03707","-21.48441"
"13.92500","2.04070","-21.49709"
"13.95000","2.04440","-21.51182"
"13.97500","2.04814","-21.52493"
"14.00000","2.05183","-21.53644"
"14.02500","2.05549","-21.54695"
"14.05000","2.05912","-21.56037"
"14.07500","2.06280","-21.57442"
"14.10000","2.06646","-21.58558"
"14.12500","2.07018","-21.59472"
"14.15000","2.07389","-21.60926"
"14.17500","2.07754","-21.62171"
"14.20000","2.08115","-21.63459"
"14.22500","2.08486","-21.64562"
"14.25000","2.08860","-21.65532"
"14.27500","2.09236","-21.66599"
"14.30000","2.09596","-21.67854"
"14.32500","2.09955","-21.68950"
"14.35000","2.10321","-21.69864"
"14.37500","2.10690","-21.71158"
"14.40000","2.11067","-21.72167"
"14.42500","2.11438","-21.73072"
"14.45000","2.11802","-21.74033"
"14.47500","2.12161","-21.74840"
"14.50000","2.12530","-21.75636"
"14.52500","2.12904","-21.76435"
"14.55000","2.13272","-21.76990"
"14.57500","2.13634","-21.77366"
"14.60000","2.13997","-21.77618"
