Maximum CNC 25 LB,3.75536,N,
Time at Maximum CNC 25 LB,15.975,s,
Extension at Maximum CNC 25 LB,23.4379,mm,
Rate 1,1.469,mm/s,
Start date,9/12/2021,,
Specimen label,,,
,,,
Time,Extension,CNC 25 LB,
(s),(mm),(N),
14.225,20.86709,-29.37222,29.37222
14.25,20.90375,-28.97358,28.97358
14.275,20.94046,-28.57505,28.57505
14.3,20.97717,-28.13348,28.13348
14.325,21.01391,-27.68254,27.68254
14.35,21.05069,-27.24524,27.24524
14.375,21.08747,-26.82553,26.82553
14.4,21.12424,-26.39557,26.39557
14.425,21.16091,-25.95278,25.95278
14.45,21.19774,-25.52803,25.52803
14.475,21.23464,-25.08035,25.08035
14.5,21.27144,-24.61426,24.61426
14.525,21.30826,-24.15457,24.15457
14.55,21.34492,-23.70334,23.70334
14.575,21.38141,-23.23755,23.23755
14.6,21.41794,-22.81176,22.81176
14.625,21.45453,-22.36506,22.36506
14.65,21.49116,-21.91014,21.91014
14.675,21.52817,-21.44374,21.44374
14.7,21.5658,-20.96624,20.96624
14.725,21.60274,-20.50147,20.50147
14.75,21.63914,-20.04267,20.04267
14.775,21.67555,-19.61474,19.61474
14.8,21.71216,-19.18424,19.18424
14.825,21.74879,-18.68953,18.68953
14.85,21.78543,-18.18105,18.18105
14.875,21.82214,-17.7052,17.7052
14.9,21.85891,-17.24886,17.24886
14.925,21.89573,-16.76823,16.76823
14.95,21.9326,-16.24284,16.24284
14.975,21.96962,-15.68342,15.68342
15,22.00668,-15.14353,15.14353
15.025,22.04311,-14.70249,14.70249
15.05,22.07951,-14.23579,14.23579
15.075,22.116,-13.73666,13.73666
15.1,22.15249,-13.22719,13.22719
15.125,22.18892,-12.70537,12.70537
15.15,22.22542,-12.15124,12.15124
15.175,22.26221,-11.56686,11.56686
15.2,22.29914,-10.98789,10.98789
15.225,22.33603,-10.45565,10.45565
15.25,22.37282,-9.95541,9.95541
15.275,22.40962,-9.44042,9.44042
15.3,22.4464,-8.93589,8.93589
15.325,22.48318,-8.44887,8.44887
15.35,22.51994,-7.9654,7.9654
15.375,22.55665,-7.46991,7.46991
15.4,22.59332,-6.95453,6.95453
15.425,22.62991,-6.46721,6.46721
15.45,22.6665,-6.01557,6.01557
15.475,22.70311,-5.57739,5.57739
15.5,22.74,-5.15389,5.15389
15.525,22.7775,-4.7371,4.7371
15.55,22.8143,-4.3266,4.3266
15.575,22.8506,-3.91041,3.91041
15.6,22.88711,-3.51592,3.51592
15.625,22.92381,-3.11128,3.11128
15.65,22.96054,-2.70134,2.70134
15.675,22.99733,-2.30906,2.30906
15.7,23.03416,-1.92631,1.92631
15.725,23.07106,-1.55772,1.55772
15.75,23.10789,-1.20434,1.20434
15.775,23.14465,-0.85564,0.85564
15.8,23.18143,-0.5065,0.5065
15.825,23.21814,-0.15424,0.15424
15.85,23.2548,0.20226,-0.20226
15.875,23.29139,0.57046,-0.57046
15.9,23.32797,0.97324,-0.97324
15.925,23.36461,1.93161,-1.93161
15.95,23.40117,3.36684,-3.36684
15.975,23.4379,3.75536,-3.75536
16,23.47458,3.71012,-3.71012
16.025,23.51127,3.65887,-3.65887
16.05,23.54801,3.64395,-3.64395
16.075,23.5848,3.64768,-3.64768
16.1,23.62159,3.65016,-3.65016
16.125,23.65841,3.65152,-3.65152
16.15,23.69527,3.64915,-3.64915
16.175,23.73212,3.65106,-3.65106
16.2,23.76889,3.64979,-3.64979
16.225,23.80565,3.65073,-3.65073
16.25,23.84241,3.64932,-3.64932
16.275,23.87908,3.65019,-3.65019
16.3,23.91567,3.64999,-3.64999
16.325,23.95225,3.65102,-3.65102
16.35,23.98879,3.64864,-3.64864
16.375,24.02541,3.65048,-3.65048
16.4,24.06197,3.65004,-3.65004
16.425,24.09897,3.65026,-3.65026
16.45,24.13652,3.64995,-3.64995
16.475,24.17349,3.65022,-3.65022
16.5,24.20999,3.65022,-3.65022
16.525,24.24654,3.65058,-3.65058
16.55,24.28323,3.64982,-3.64982
16.575,24.32,3.65031,-3.65031
